DATE,vwretd,vwretx
20120727,0.018922,0.018805
20120730,-0.000796,-0.000859
20120731,-0.004974,-0.004983
20120801,-0.004479,-0.004651
20120802,-0.007298,-0.007402
20120803,0.019237,0.019099
20120806,0.003518,0.003495
20120807,0.006356,0.006330
20120808,0.000186,-0.000098
20120809,0.001633,0.001330
20120810,0.001880,0.001847
20120813,-0.001902,-0.002102
20120814,-0.000008,-0.000137
20120815,0.002746,0.002480
20120816,0.007902,0.007845
20120817,0.002644,0.002622
20120820,-0.000602,-0.000642
20120821,-0.002329,-0.002374
20120822,-0.000109,-0.000175
20120823,-0.007333,-0.007357
20120824,0.005505,0.005370
20120827,-0.000552,-0.000573
20120828,0.000251,0.000208
20120829,0.001009,0.000749
20120830,-0.007796,-0.007947
20120831,0.005877,0.005859
20120904,0.000684,0.000578
20120905,-0.000603,-0.000794
20120906,0.019472,0.019335
20120907,0.005654,0.005611
20120910,-0.005682,-0.005725
20120911,0.003428,0.003411
20120912,0.002644,0.002320
20120913,0.015290,0.015189
20120914,0.006147,0.006134
20120917,-0.004548,-0.004585
20120918,-0.001781,-0.001816
20120919,0.001315,0.001262
20120920,-0.001934,-0.002056
20120921,0.000448,0.000373
20120924,-0.003076,-0.003200
20120925,-0.010804,-0.010905
20120926,-0.005514,-0.005762
20120927,0.010045,0.009955
20120928,-0.004501,-0.004540
20121001,0.002811,0.002714
20121002,0.001180,0.001139
20121003,0.002523,0.002365
20121004,0.007672,0.007660
20121005,-0.000143,-0.000369
20121008,-0.003576,-0.003576
20121009,-0.009782,-0.009808
20121010,-0.005554,-0.005617
20121011,0.001748,0.001582
20121012,-0.003497,-0.003530
20121015,0.007245,0.007235
20121016,0.009938,0.009936
20121017,0.005081,0.004999
20121018,-0.002693,-0.002777
20121019,-0.015642,-0.015658
20121022,0.000196,0.000167
20121023,-0.012926,-0.013004
20121024,-0.002621,-0.002628
20121025,0.003299,0.003282
20121026,-0.001381,-0.001387
20121031,0.002489,0.002193
20121101,0.011192,0.011083
20121102,-0.009752,-0.009806
20121105,0.002246,0.002070
20121106,0.007874,0.007721
20121107,-0.021073,-0.021716
20121108,-0.011569,-0.011607
20121109,0.000940,0.000896
20121112,-0.000222,-0.000222
20121113,-0.004152,-0.004437
20121114,-0.014695,-0.014986
20121115,-0.002943,-0.003109
20121116,0.006199,0.006112
20121119,0.019190,0.019064
20121120,0.000992,0.000903
20121121,0.003119,0.003091
20121123,0.012722,0.012627
20121126,-0.001650,-0.001696
20121127,-0.004432,-0.004517
20121128,0.007492,0.007194
20121129,0.005428,0.004982
20121130,0.000261,0.000252
20121203,-0.004222,-0.004299
20121204,-0.001277,-0.001370
20121205,0.001760,0.001405
20121206,0.002841,0.002338
20121207,0.002531,0.002466
20121210,0.001533,0.001425
20121211,0.006154,0.006132
20121212,0.000253,-0.000098
20121213,-0.005874,-0.006200
20121214,-0.003106,-0.003198
20121217,0.010182,0.010154
20121218,0.011114,0.010829
20121219,-0.004647,-0.004834
20121220,0.004888,0.004655
20121221,-0.008496,-0.008645
20121224,-0.002205,-0.002397
20121226,-0.004965,-0.005065
20121227,-0.000677,-0.000921
20121228,-0.009283,-0.009401
20121231,0.016434,0.016429
20130102,0.025006,0.024842
20130103,-0.001906,-0.001908
20130104,0.005628,0.005627
20130107,-0.002555,-0.002557
20130108,-0.002216,-0.002437
20130109,0.003403,0.003391
20130110,0.006804,0.006796
20130111,0.000247,0.000151
20130114,-0.000349,-0.000352
20130115,0.001962,0.001944
20130116,-0.000731,-0.000814
20130117,0.005930,0.005914
20130118,0.002937,0.002923
20130122,0.005188,0.005112
20130123,0.000282,0.000259
20130124,0.000647,0.000620
20130125,0.005249,0.005246
20130128,-0.001321,-0.001345
20130129,0.003623,0.003514
20130130,-0.003873,-0.004102
20130131,-0.000788,-0.000842
20130201,0.009287,0.009218
20130204,-0.011041,-0.011070
20130205,0.009266,0.009131
20130206,0.001306,0.001179
20130207,-0.002113,-0.002408
20130208,0.005393,0.005385
20130211,-0.001001,-0.001048
20130212,0.002186,0.002139
20130213,0.001389,0.001025
20130214,0.000845,0.000718
20130215,-0.002003,-0.002090
20130219,0.006943,0.006799
20130220,-0.013321,-0.013366
20130221,-0.007039,-0.007206
20130222,0.008683,0.008589
20130225,-0.017153,-0.017170
20130226,0.005662,0.005536
20130227,0.012273,0.012074
20130228,-0.000637,-0.000698
20130301,0.001769,0.001716
20130304,0.003659,0.003644
20130305,0.009193,0.009154
20130306,0.001672,0.001470
20130307,0.002328,0.002234
20130308,0.004898,0.004815
20130311,0.002694,0.002627
20130312,-0.001935,-0.001993
20130313,0.000792,0.000436
20130314,0.005952,0.005911
20130315,-0.001522,-0.001578
20130318,-0.005326,-0.005376
20130319,-0.002904,-0.002945
20130320,0.007242,0.007229
20130321,-0.007563,-0.007588
20130322,0.005845,0.005807
20130325,-0.003079,-0.003125
20130326,0.007293,0.006966
20130327,-0.000121,-0.000209
20130328,0.004040,0.003996
20130401,-0.005375,-0.005473
20130402,0.002714,0.002707
20130403,-0.011857,-0.011986
20130404,0.003816,0.003771
20130405,-0.003521,-0.003530
20130408,0.006634,0.006419
20130409,0.003710,0.003688
20130410,0.011619,0.011567
20130411,0.003197,0.003110
20130412,-0.003771,-0.003803
20130415,-0.025582,-0.025589
20130416,0.014669,0.014666
20130417,-0.014675,-0.014714
20130418,-0.005714,-0.005741
20130419,0.009362,0.009325
20130422,0.004275,0.004259
20130423,0.010147,0.010104
20130424,0.002184,0.002094
20130425,0.004948,0.004887
20130426,-0.002473,-0.002567
20130429,0.007371,0.007319
20130430,0.004088,0.004076
20130501,-0.010620,-0.010774
20130502,0.009487,0.009376
20130503,0.010387,0.010293
20130506,0.002554,0.002475
20130507,0.005139,0.005086
20130508,0.005018,0.004635
20130509,-0.003687,-0.004007
20130510,0.004661,0.004622
20130513,-0.000631,-0.000742
20130514,0.009348,0.009179
20130515,0.003951,0.003735
20130516,-0.004598,-0.004648
20130517,0.009400,0.009377
20130520,0.000624,0.000596
20130521,0.001611,0.001567
20130522,-0.009643,-0.009740
20130523,-0.002435,-0.002530
20130524,-0.001021,-0.001087
20130528,0.006295,0.006278
20130529,-0.006972,-0.007135
20130530,0.004204,0.004041
20130531,-0.013569,-0.013597
20130603,0.004655,0.004554
20130604,-0.005564,-0.005593
20130605,-0.013407,-0.013609
20130606,0.008981,0.008869
